Code,Area,median,mean
E02000290,Enfield 014,257250,272702
E02000291,Enfield 015,350000,386788
E02000292,Enfield 016,400000,392198
E02000293,Enfield 017,835000,880342
E02000294,Enfield 018,375000,349635
E02000295,Enfield 019,425000,486192
E02000296,Enfield 020,425000,466544
E02000297,Enfield 021,560000,519475
E02000298,Enfield 022,750000,889583
E02000299,Enfield 023,350000,326658
E02000300,Enfield 024,347500,319613
E02000301,Enfield 025,325000,312765
E02000302,Enfield 026,480000,479418
E02000303,Enfield 027,357000,319621
E02000304,Enfield 028,765000,763733
E02000305,Enfield 029,477500,540450
E02000306,Enfield 030,247000,263924
E02000307,Enfield 031,382500,391225
E02000308,Enfield 032,594000,563227
E02000309,Enfield 033,348250,318902
E02000311,Enfield 035,430000,424661
E02000312,Enfield 036,527000,551375
E02006793,Enfield 037,327750,306550
E02000313,Greenwich 001,228000,227216
E02000314,Greenwich 002,288750,284095
E02000315,Greenwich 003,330000,315341
E02000316,Greenwich 004,420000,419752
E02000317,Greenwich 005,330000,422346
E02000318,Greenwich 006,317500,324771
E02000319,Greenwich 007,330000,321499
E02000320,Greenwich 008,370000,359391
E02000321,Greenwich 009,310000,317233
E02000323,Greenwich 011,406000,386027
E02000324,Greenwich 012,420000,449265
E02000326,Greenwich 014,542000,487680
E02000327,Greenwich 015,322500,343000
E02000328,Greenwich 016,522500,692918
E02000329,Greenwich 017,368500,374024
E02000331,Greenwich 019,360000,377717
E02000332,Greenwich 020,450000,434722
E02000333,Greenwich 021,522500,735106
E02000334,Greenwich 022,404250,435817
E02000335,Greenwich 023,460000,473456
E02000337,Greenwich 025,375000,383669
E02000339,Greenwich 027,520000,550526
E02000340,Greenwich 028,360000,415902
E02000341,Greenwich 029,323500,336470
E02000342,Greenwich 030,375500,387652
E02000343,Greenwich 031,372000,380854
E02000344,Greenwich 032,465000,446753
E02006786,Greenwich 033,347998,350408
E02006927,Greenwich 034,470000,497229
E02006928,Greenwich 035,472500,491609
E02006929,Greenwich 036,545000,548934
E02006930,Greenwich 037,485000,513752
E02006931,Greenwich 038,545000,643837
E02000345,Hackney 001,437500,552188
E02000346,Hackney 002,600000,661585
E02000347,Hackney 003,459000,610605
E02000348,Hackney 004,485000,576088
E02000350,Hackney 006,507500,656895
E02000351,Hackney 007,530000,503136
E02000352,Hackney 008,600000,715159
E02000353,Hackney 009,613300,746754
E02000354,Hackney 010,505000,565438
E02000355,Hackney 011,725000,808405
E02000356,Hackney 012,641500,773049
E02000357,Hackney 013,371000,399446
E02000358,Hackney 014,495000,609182
E02000359,Hackney 015,771250,718423
E02000360,Hackney 016,445000,478575
E02000361,Hackney 017,557500,600544
E02000362,Hackney 018,407500,448510
E02000363,Hackney 019,362625,449272
E02000364,Hackney 020,620350,816456
E02000365,Hackney 021,600000,723344
E02000366,Hackney 022,550000,714471
E02000367,Hackney 023,640000,694766
E02000368,Hackney 024,485000,562333
E02000369,Hackney 025,400000,446449
E02000370,Hackney 026,672500,681399
E02000371,Hackney 027,600000,671891
E02006918,Hackney 028,412495,406059
E02006921,Hackney 029,397500,515927
E02000372,Hammersmith and Fulham 001,530000,562803
E02000373,Hammersmith and Fulham 002,360000,398820
E02000374,Hammersmith and Fulham 003,756250,776031
E02000375,Hammersmith and Fulham 004,672500,801713
E02000376,Hammersmith and Fulham 005,564100,709506
E02000377,Hammersmith and Fulham 006,577500,736643
E02000378,Hammersmith and Fulham 007,590000,681600
E02000379,Hammersmith and Fulham 008,675000,916038
E02000380,Hammersmith and Fulham 009,727000,943176
E02000381,Hammersmith and Fulham 010,845000,1139262
E02000382,Hammersmith and Fulham 011,820000,956085
E02000383,Hammersmith and Fulham 012,588500,713610
E02000384,Hammersmith and Fulham 013,889998,1121469
E02000385,Hammersmith and Fulham 014,610000,712609
E02000386,Hammersmith and Fulham 015,570000,594408
E02000387,Hammersmith and Fulham 016,766500,803479
E02000388,Hammersmith and Fulham 017,790750,977353
E02000389,Hammersmith and Fulham 018,1100000,1104415
E02000390,Hammersmith and Fulham 019,995000,1001652
E02000391,Hammersmith and Fulham 020,1082500,1419791
E02000392,Hammersmith and Fulham 021,900500,1082913
E02000393,Hammersmith and Fulham 022,775000,966411
E02000394,Hammersmith and Fulham 023,889975,1138881
E02000395,Hammersmith and Fulham 024,945000,1276373
E02000396,Hammersmith and Fulham 025,900000,1114698
E02000397,Haringey 001,496000,505590
E02000398,Haringey 002,290000,309403
E02000400,Haringey 004,615000,652788
E02000401,Haringey 005,407325,405967
E02000402,Haringey 006,395000,392898
E02000403,Haringey 007,427500,458529
E02000404,Haringey 008,455000,441979
E02000405,Haringey 009,1017000,960274
E02000406,Haringey 010,488500,481379
E02000407,Haringey 011,400000,417539
E02000408,Haringey 012,461500,412111
E02000409,Haringey 013,436000,418457
E02000410,Haringey 014,610000,779331
E02000411,Haringey 015,379950,369880
E02000412,Haringey 016,412500,428418
E02000413,Haringey 017,729000,961293
E02000414,Haringey 018,525000,504389
E02000415,Haringey 019,472500,512794
E02000416,Haringey 020,505000,560849
E02000417,Haringey 021,862500,976147
E02000418,Haringey 022,885000,929449
E02000419,Haringey 023,655000,633503
E02000420,Haringey 024,487500,473187
E02000421,Haringey 025,350000,361449
E02000422,Haringey 026,457500,448004
E02000423,Haringey 027,568500,570062
E02000424,Haringey 028,619000,716158
E02000425,Haringey 029,725000,672875
E02000426,Haringey 030,770000,1178216
E02000427,Haringey 031,550000,629422
E02000428,Haringey 032,456500,450779
E02000429,Haringey 033,751250,978999
E02000430,Haringey 034,642500,830676
E02000431,Haringey 035,760000,992436
E02000432,Haringey 036,522500,635664
E02006794,Haringey 037,380000,364300
E02000433,Harrow 001,525000,862102
E02000434,Harrow 002,525000,529529
E02000435,Harrow 003,593750,650391
E02000436,Harrow 004,791250,820810
E02000437,Harrow 005,480000,467506
E02000438,Harrow 006,457250,546342
E02000439,Harrow 007,474975,444949
E02000440,Harrow 008,580000,596538
E02000441,Harrow 009,513000,583955
E02000442,Harrow 010,450000,447962
E02000443,Harrow 011,444000,435791
E02000444,Harrow 012,503750,481694
E02000445,Harrow 013,415000,400730
E02000447,Harrow 015,600000,570162
E02000448,Harrow 016,705000,705631
E02000449,Harrow 017,474000,471341
E02000451,Harrow 019,585000,556792
E02000452,Harrow 020,355000,392491
E02000453,Harrow 021,400000,424813
E02000454,Harrow 022,647500,657061
E02000455,Harrow 023,425000,438814
E02000456,Harrow 024,507500,467424
E02000457,Harrow 025,555000,565673
E02000459,Harrow 027,327500,369848
E02000460,Harrow 028,440000,414556
E02000461,Harrow 029,496250,555434
E02000462,Harrow 030,430000,400708
E02000463,Harrow 031,435000,406011
E02006795,Harrow 032,455000,435192
E02006882,Harrow 033,570000,538753
E02000464,Havering 001,315000,328878
E02000465,Havering 002,315500,301618
E02000466,Havering 003,344000,343211
E02000467,Havering 004,280000,271701
E02000468,Havering 005,348000,343585
E02000469,Havering 006,298750,291931
E02000470,Havering 007,370000,382673
E02000471,Havering 008,430000,452377
E02000472,Havering 009,368000,375648
E02000473,Havering 010,350000,360361
E02000474,Havering 011,347500,333365
E02000475,Havering 012,387498,462651
E02000476,Havering 013,265000,286647
E02000477,Havering 014,450000,461363
E02000478,Havering 015,805000,922589
E02000479,Havering 016,328500,323687
E02000480,Havering 017,337000,334084
E02000481,Havering 018,425000,432054
E02000482,Havering 019,520000,599896
E02000483,Havering 020,340000,346756
E02000484,Havering 021,383500,393768
E02000485,Havering 022,390000,427602
E02000486,Havering 023,400000,391207
E02000487,Havering 024,625000,610714
E02000488,Havering 025,410000,420724
E02000489,Havering 026,345000,341183
E02000490,Havering 027,328000,329787
E02000491,Havering 028,310000,310639
E02000492,Havering 029,340000,371828
E02000493,Havering 030,303750,287945
E02000494,Hillingdon 001,720000,921102
E02000495,Hillingdon 002,535000,547422
E02000496,Hillingdon 003,414000,443320
E02000497,Hillingdon 004,525000,525173
E02000498,Hillingdon 005,429975,480026
E02000499,Hillingdon 006,563500,547058
E02000500,Hillingdon 007,612500,605404
E02000501,Hillingdon 008,512750,523677
E02000502,Hillingdon 009,431000,470658
E02000503,Hillingdon 010,463000,475762
E02000504,Hillingdon 011,599000,624427
E02000506,Hillingdon 013,645000,622378
E02000507,Hillingdon 014,430000,428002
E02000508,Hillingdon 015,410000,454241
E02000509,Hillingdon 016,340000,350634
E02000510,Hillingdon 017,460000,485891
E02000511,Hillingdon 018,424500,403049
E02000512,Hillingdon 019,340000,354203
E02000513,Hillingdon 020,327500,334249
E02000514,Hillingdon 021,365000,371135
E02000515,Hillingdon 022,310000,311729
E02000516,Hillingdon 023,390000,377541
E02000517,Hillingdon 024,355000,349040
E02000518,Hillingdon 025,367500,367235
E02000519,Hillingdon 026,402500,379817
E02000520,Hillingdon 027,365000,341826
E02000521,Hillingdon 028,355000,343477
E02000522,Hillingdon 029,375000,395993
E02000523,Hillingdon 030,400000,369180
E02000524,Hillingdon 031,303500,342546
E02000525,Hillingdon 032,327500,320140
E02006796,Hillingdon 033,409995,409656
E02000526,Hounslow 001,962000,1281686
E02000528,Hounslow 003,482500,520353
E02000529,Hounslow 004,323250,334652
E02000530,Hounslow 005,296000,329564
E02000531,Hounslow 006,500000,534817
E02000532,Hounslow 007,900000,1010518
E02000533,Hounslow 008,637500,855737
E02000534,Hounslow 009,395000,516340
E02000535,Hounslow 010,446100,435961
E02000536,Hounslow 011,457500,454563
E02000537,Hounslow 012,465000,524571
E02000538,Hounslow 013,359500,369774
E02000539,Hounslow 014,415000,419544
E02000540,Hounslow 015,370000,395361
E02000541,Hounslow 016,295000,357550
E02000542,Hounslow 017,257000,279349
E02000543,Hounslow 018,327500,355350
E02000544,Hounslow 019,480000,459009
E02000545,Hounslow 020,520000,655733
E02000546,Hounslow 021,370000,371561
E02000547,Hounslow 022,352000,339165
E02000548,Hounslow 023,325000,328015
E02000549,Hounslow 024,370000,356424
E02000550,Hounslow 025,305000,291602
E02000551,Hounslow 026,327000,316386
E02000552,Hounslow 027,320000,310701
E02000553,Hounslow 028,359000,362788
E02006792,Hounslow 029,735000,942691
E02000554,Islington 001,456000,554993
E02000555,Islington 002,550000,695117
E02000556,Islington 003,550000,599124
E02000557,Islington 004,505000,637266
E02000558,Islington 005,465000,476443
E02000559,Islington 006,735000,800417
E02000560,Islington 007,490000,582873
E02000561,Islington 008,734000,988183
E02000562,Islington 009,670000,811579
E02000563,Islington 010,490000,541197
E02000564,Islington 011,467500,497847
E02000565,Islington 012,487000,599653
E02000566,Islington 013,710000,941734
E02000567,Islington 014,615000,753493
E02000568,Islington 015,485000,537617
E02000569,Islington 016,770000,998532
E02000570,Islington 017,730000,1059580
E02000571,Islington 018,685000,776148
E02000572,Islington 019,477500,598608
E02000573,Islington 020,989200,1243050
E02000574,Islington 021,845000,882704
E02000575,Islington 022,735000,908759
E02000576,Islington 023,705000,715274
E02000577,Kensington and Chelsea 001,640000,823330
E02000578,Kensington and Chelsea 002,720000,1369841
E02000579,Kensington and Chelsea 003,985000,1099301
E02000580,Kensington and Chelsea 004,795000,1071668
E02000581,Kensington and Chelsea 005,575000,963463
E02000582,Kensington and Chelsea 006,1150000,1753579
E02000583,Kensington and Chelsea 007,1245000,2762387
E02000584,Kensington and Chelsea 008,1900000,3502706
E02000585,Kensington and Chelsea 009,1200000,1593565
E02000586,Kensington and Chelsea 010,1835000,2506216
E02000587,Kensington and Chelsea 011,1765000,2683531
E02000588,Kensington and Chelsea 012,2287500,3197276
E02000589,Kensington and Chelsea 013,1137500,1418515
E02000590,Kensington and Chelsea 014,1425000,1986196
E02000591,Kensington and Chelsea 015,1150000,1451722
E02000592,Kensington and Chelsea 016,1417750,2100134
E02000593,Kensington and Chelsea 017,1000000,1400113
E02000594,Kensington and Chelsea 018,1800000,2382644
E02000595,Kensington and Chelsea 019,1250000,2345427
E02000596,Kensington and Chelsea 020,1200000,1624948
E02000597,Kensington and Chelsea 021,890000,1157496
E02000598,Kingston upon Thames 001,705000,751280
E02000599,Kingston upon Thames 002,1170000,1411690
E02000600,Kingston upon Thames 003,510000,562729
E02000601,Kingston upon Thames 004,578000,657727
E02000602,Kingston upon Thames 005,437500,506652
E02000603,Kingston upon Thames 006,460000,532093
E02000604,Kingston upon Thames 007,581250,624088
E02000605,Kingston upon Thames 008,590000,611684
E02000606,Kingston upon Thames 009,486500,551306
E02000607,Kingston upon Thames 010,620000,598534
E02000608,Kingston upon Thames 011,447500,514109
E02000609,Kingston upon Thames 012,540000,562343
E02000610,Kingston upon Thames 013,402500,485707
E02000611,Kingston upon Thames 014,647950,670987
E02000612,Kingston upon Thames 015,550000,526857
E02000613,Kingston upon Thames 016,468000,577646
E02000614,Kingston upon Thames 017,430000,430472
E02000615,Kingston upon Thames 018,425000,439407
E02000616,Kingston upon Thames 019,380000,383240
E02000617,Kingston upon Thames 020,406500,410407
E02000619,Lambeth 002,332000,492156
E02000620,Lambeth 003,630000,1229649
E02000621,Lambeth 004,591468,667174
E02000622,Lambeth 005,575000,715743
E02000623,Lambeth 006,515000,692276
E02000624,Lambeth 007,450000,456200
E02000625,Lambeth 008,420000,489726
E02000626,Lambeth 009,430000,528750
E02000627,Lambeth 010,526750,643052
E02000628,Lambeth 011,392500,419366
E02000629,Lambeth 012,550000,696848
E02000630,Lambeth 013,610000,810179
E02000631,Lambeth 014,542000,666895
E02000632,Lambeth 015,595000,648248
E02000633,Lambeth 016,560000,568854
E02000634,Lambeth 017,593750,717084
E02000635,Lambeth 018,575000,652234
E02000636,Lambeth 019,842500,980677
E02000637,Lambeth 020,554000,634894
E02000638,Lambeth 021,441250,475628
E02000639,Lambeth 022,400000,443444
E02000640,Lambeth 023,680000,733381
E02000641,Lambeth 024,360000,405827
E02000642,Lambeth 025,512500,576566
E02000643,Lambeth 026,497500,590171
E02000644,Lambeth 027,475000,549654
E02000645,Lambeth 028,490000,562715
E02000646,Lambeth 029,430000,533085
E02000647,Lambeth 030,500000,583446
E02000648,Lambeth 031,420000,443102
E02000649,Lambeth 032,435000,513505
E02000650,Lambeth 033,430000,465351
E02000651,Lambeth 034,475000,527419
E02000652,Lambeth 035,470000,462023
E02006801,Lambeth 036,720000,799253
E02000653,Lewisham 001,535000,507484
E02000654,Lewisham 002,323000,423471
E02000655,Lewisham 003,310000,360130
E02000657,Lewisham 005,450000,510255
E02000658,Lewisham 006,520000,625096
E02000659,Lewisham 007,436500,532973
E02000660,Lewisham 008,435000,527675
E02000661,Lewisham 009,499000,593575
E02000662,Lewisham 010,475000,516734
E02000663,Lewisham 011,571250,599483
E02000664,Lewisham 012,356000,382037
E02000665,Lewisham 013,526000,556792
E02000666,Lewisham 014,432051,503870
E02000667,Lewisham 015,547500,549250
E02000668,Lewisham 016,525000,570784
E02000669,Lewisham 017,412750,444420
E02000670,Lewisham 018,380000,383049
E02000671,Lewisham 019,490000,525851
E02000672,Lewisham 020,456000,443098
E02000673,Lewisham 021,462500,595908
E02000674,Lewisham 022,480000,474558
E02000675,Lewisham 023,417831,410780
E02000676,Lewisham 024,516750,543307
E02000677,Lewisham 025,508498,501633
E02000678,Lewisham 026,328000,326730
E02000679,Lewisham 027,457000,509350
E02000680,Lewisham 028,430000,508038
E02000681,Lewisham 029,385000,407841
E02000682,Lewisham 030,405000,377327
E02000683,Lewisham 031,300000,299597
E02000685,Lewisham 033,410000,457595
E02000686,Lewisham 034,287000,302065
E02000687,Lewisham 035,447500,508564
E02006783,Lewisham 037,330000,338193
E02006784,Lewisham 038,337000,335574
E02006798,Lewisham 039,399995,403041
E02000689,Merton 001,840000,894004
E02000690,Merton 002,1590000,2004981
E02000691,Merton 003,636500,811558
E02000692,Merton 004,832500,1223451
E02000693,Merton 005,445000,482471
E02000694,Merton 006,663700,684614
E02000695,Merton 007,512500,507633
E02000696,Merton 008,390000,391721
E02000697,Merton 009,599950,673254
E02000698,Merton 010,1055875,1232316
E02000699,Merton 011,594500,656703
E02000700,Merton 012,356000,354260
E02000701,Merton 013,367750,361991
E02000702,Merton 014,320000,333589
E02000703,Merton 015,628000,682425
E02000704,Merton 016,495000,546353
E02000705,Merton 017,400000,400548
E02000706,Merton 018,322000,324512
E02000707,Merton 019,375000,351683
E02000708,Merton 020,552000,538405
E02000709,Merton 021,525500,523035
E02000710,Merton 022,287000,313575
E02000711,Merton 023,375000,385597
E02000712,Merton 024,388000,394855
E02000713,Merton 025,420000,420433
E02000714,Newham 001,440000,447926
E02000715,Newham 002,345000,328448
E02000716,Newham 003,375000,411700
E02000717,Newham 004,305000,339411
E02000718,Newham 005,266000,260839
E02000719,Newham 006,360000,370416
E02000720,Newham 007,562875,576948
E02000721,Newham 008,334000,421317
E02000722,Newham 009,410000,413459
E02000723,Newham 010,427500,390953
E02000724,Newham 011,385000,348878
E02000725,Newham 012,360000,369290
E02000726,Newham 013,435000,452099
E02000727,Newham 014,360000,354696
E02000728,Newham 015,377000,341891
E02000729,Newham 016,475000,443161
E02000730,Newham 017,415000,400320
E02000731,Newham 018,379000,354608
E02000732,Newham 019,323000,345077
E02000733,Newham 020,325000,352471
E02000734,Newham 021,355000,347278
E02000735,Newham 022,395000,401207
E02000736,Newham 023,320000,312139
E02000737,Newham 024,359000,336086
E02000738,Newham 025,375000,363071
E02000739,Newham 026,357500,328992
E02000740,Newham 027,317500,320329
